symbol,instructions,stack_operands,fma,branches
"ap::N_AVX2::small_scan(ap::N_AVX2::BP*, unsigned long, float, ap_peak*, unsigned long, int, unsigned long, unsigned long, int) [clone .constprop.0]",301,42,3,35
"ap::N_SSE4::small_scan(ap::N_SSE4::BP*, unsigned long, float, ap_peak*, unsigned long, int, unsigned long, unsigned long, int) [clone .constprop.0]",321,43,0,34
"ap::N_AVX2::efft(int, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, float const*, float const*)",385,49,8,20
"ap::N_AVX2::stageA_prod(ap::N_AVX2::BP*, float const*, float const*, float const*, float const*)",689,113,66,22
"ap::N_AVX2::stageB(ap::N_AVX2::BP*, int, hwy::N_AVX2::Vec256<float>**, hwy::N_AVX2::Vec256<float>**, int) [clone .constprop.0]",119,17,0,11
"ap::N_AVX2::binmax_core(ap::N_AVX2::BP*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",2598,464,13,380
"ap::N_AVX3::efft(int, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, float const*, float const*) [clone .isra.0]",349,37,8,21
"ap::N_AVX3::stageB(ap::N_AVX3::BP*, int, hwy::N_AVX3::Vec512<float>**, hwy::N_AVX3::Vec512<float>**, int) [clone .constprop.0]",122,15,0,11
"ap::N_AVX3::stageA_prod(ap::N_AVX3::BP*, float const*, float const*, float const*, float const*)",938,221,10,61
"ap::N_AVX3::binmax_core(ap::N_AVX3::BP*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",1966,375,8,183
"ap::N_SSE4::efft(int, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, float const*, float const*)",452,46,0,22
"ap::N_SSE4::stageB(ap::N_SSE4::BP*, int, hwy::N_SSE4::Vec128<float, 4ul>**, hwy::N_SSE4::Vec128<float, 4ul>**, int) [clone .constprop.0]",110,19,0,11
"ap::N_SSE4::binmax_core(ap::N_SSE4::BP*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",1626,316,0,234
"ap::N_AVX3::stageA_split(ap::N_AVX3::BP*, float const*, float const*, int) [clone .constprop.0]",929,205,8,61
"ap::N_AVX3::stageA(ap::N_AVX3::BP*, float const*, int)",937,210,8,62
"ap::N_AVX3::fft(void*, float const*, float*, int)",268,32,0,28
"ap::N_AVX2::stageA_split(ap::N_AVX2::BP*, float const*, float const*, int) [clone .constprop.0]",661,98,64,22
"ap::N_SSE4::stageA(ap::N_SSE4::BP*, float const*, int)",442,78,0,25
"ap::N_SSE4::fft(void*, float const*, float*, int)",274,50,0,28
"ap::N_AVX2::stageA(ap::N_AVX2::BP*, float const*, int)",675,101,64,23
"ap::N_AVX2::fft(void*, float const*, float*, int)",268,42,0,28
ap::N_AVX2::supported(unsigned long),98,13,0,19
ap::N_AVX3::supported(unsigned long),98,13,0,19
ap::N_SSE4::supported(unsigned long),99,13,0,19
"ap::N_AVX3::bins_reserve(ap::N_AVX3::BP*, unsigned long)",64,17,0,4
"ap::N_AVX3::binmax(void*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",193,43,0,14
"ap::N_AVX3::binmax_split(void*, float const*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",143,33,0,10
"ap::N_AVX2::bins_reserve(ap::N_AVX2::BP*, unsigned long)",87,9,0,7
"ap::N_AVX2::binmax(void*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",170,40,0,14
"ap::N_AVX2::binmax_split(void*, float const*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",139,35,0,10
"ap::N_SSE4::bins_reserve(ap::N_SSE4::BP*, unsigned long)",90,15,0,7
"ap::N_SSE4::binmax(void*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",185,46,0,13
"ap::N_SSE4::binmax_split(void*, float const*, float const*, unsigned long, float, ap_peak*, int, unsigned long, unsigned long)",543,107,0,34
ap::N_AVX3::create_small(unsigned long),241,57,0,27
ap::N_AVX2::create_small(unsigned long),274,63,0,32
ap::N_SSE4::create_small(unsigned long),281,61,0,32
"ap::N_AVX2::series_buf(void*, int)",68,7,0,8
"ap::N_AVX3::series_buf(void*, int)",68,7,0,8
"ap::N_SSE4::series_buf(void*, int)",68,7,0,8
ap::N_AVX3::create(unsigned long),1830,532,1,239
ap::N_AVX2::create(unsigned long),1737,526,1,244
