# matchedfilter COARSE THRESHOLD table -- measured, not modelled.
#
# THR n snr f ratio fd threshold
#
# The threshold the coarse maximum is compared against. Bisected
# directly against measured false dismissal until the rate meets fd,
# so the number stored IS the measurement: nothing derives it and
# nothing corrects it. It replaces hmf_threshold's Rice model plus a
# margin, which were two answers to one question.
#
# ratio = band / B_eff, the samples across the correlation peak. That
# is what scalloping depends on, it is dimensionless, and there is no
# n in it. Real references sit at 1.7 to 5.3; the old grid started at 8.
# 6000 trials a bisection step, 9 steps.
THR 1024 6.00 0.7000 8.000 1e-02 4.1813
THR 1024 6.00 0.7000 16.000 1e-02 4.2445
THR 1024 6.00 0.8000 1.200 1e-02 3.6680
THR 1024 6.00 0.8000 1.500 1e-02 3.9281
THR 1024 6.00 0.8000 2.000 1e-02 4.0547
THR 1024 6.00 0.8000 3.000 1e-02 4.4344
THR 1024 6.00 0.8000 4.000 1e-02 4.5680
THR 1024 6.00 0.8000 6.000 1e-02 4.7227
THR 1024 6.00 0.8000 8.000 1e-02 4.7578
THR 1024 6.00 0.8000 16.000 1e-02 4.7859
THR 1024 6.00 0.9000 1.200 1e-02 3.9281
THR 1024 6.00 0.9000 1.500 1e-02 4.2023
THR 1024 6.00 0.9000 2.000 1e-02 4.5117
THR 1024 6.00 0.9000 3.000 1e-02 4.9336
THR 1024 6.00 0.9000 4.000 1e-02 5.1023
THR 1024 6.00 0.9000 6.000 1e-02 5.1938
THR 1024 6.00 0.9000 8.000 1e-02 5.3133
THR 1024 6.00 0.9000 16.000 1e-02 5.3555
THR 1024 6.00 0.9500 1.200 1e-02 4.0617
THR 1024 6.00 0.9500 1.500 1e-02 4.3359
THR 1024 6.00 0.9500 2.000 1e-02 4.6664
THR 1024 6.00 0.9500 3.000 1e-02 5.1797
THR 1024 6.00 0.9500 4.000 1e-02 5.3906
THR 1024 6.00 0.9500 6.000 1e-02 5.5664
THR 1024 6.00 0.9500 8.000 1e-02 5.5875
THR 1024 6.00 0.9500 16.000 1e-02 5.6227
THR 1024 6.00 0.9800 1.200 1e-02 4.1461
THR 1024 6.00 0.9800 1.500 1e-02 4.4414
THR 1024 6.00 0.9800 2.000 1e-02 4.8141
THR 1024 6.00 0.9800 3.000 1e-02 5.3063
THR 1024 6.00 0.9800 4.000 1e-02 5.5664
THR 1024 6.00 0.9800 6.000 1e-02 5.7563
THR 1024 6.00 0.9800 8.000 1e-02 5.7773
THR 1024 6.00 0.9800 16.000 1e-02 5.8055
THR 1024 6.00 0.9950 1.200 1e-02 4.1883
THR 1024 6.00 0.9950 1.500 1e-02 4.5117
THR 1024 6.00 0.9950 2.000 1e-02 4.8633
THR 1024 6.00 0.9950 3.000 1e-02 5.3836
THR 1024 6.00 0.9950 4.000 1e-02 5.6648
THR 1024 6.00 0.9950 6.000 1e-02 5.8406
THR 1024 6.00 0.9950 8.000 1e-02 5.8898
THR 1024 6.00 0.9950 16.000 1e-02 5.9180
THR 1024 6.50 0.5000 1.200 1e-02 3.2500
THR 1024 6.50 0.5000 1.500 1e-02 3.3109
THR 1024 6.50 0.5000 2.000 1e-02 3.3795
THR 1024 6.50 0.5000 3.000 1e-02 3.4633
THR 1024 6.50 0.5000 4.000 1e-02 3.4633
THR 1024 6.50 0.5000 6.000 1e-02 3.5090
THR 1024 6.50 0.5000 8.000 1e-02 3.4937
THR 1024 6.50 0.5000 16.000 1e-02 3.5318
THR 1024 6.50 0.6000 1.200 1e-02 3.3871
THR 1024 6.50 0.6000 1.500 1e-02 3.5318
THR 1024 6.50 0.6000 2.000 1e-02 3.6613
THR 1024 6.50 0.6000 3.000 1e-02 3.8441
THR 1024 6.50 0.6000 4.000 1e-02 3.8518
THR 1024 6.50 0.6000 6.000 1e-02 4.0117
THR 1024 6.50 0.6000 8.000 1e-02 4.0270
THR 1024 6.50 0.6000 16.000 1e-02 4.0498
THR 1024 6.50 0.7000 1.200 1e-02 3.6156
THR 1024 6.50 0.7000 1.500 1e-02 3.8746
THR 1024 6.50 0.7000 2.000 1e-02 4.0650
THR 1024 6.50 0.7000 3.000 1e-02 4.3316
THR 1024 6.50 0.7000 4.000 1e-02 4.4916
THR 1024 6.50 0.7000 6.000 1e-02 4.5525
THR 1024 6.50 0.7000 8.000 1e-02 4.5525
THR 1024 6.50 0.7000 16.000 1e-02 4.6516
THR 1024 6.50 0.8000 1.200 1e-02 3.9660
THR 1024 6.50 0.8000 1.500 1e-02 4.1717
THR 1024 6.50 0.8000 2.000 1e-02 4.4078
THR 1024 6.50 0.8000 3.000 1e-02 4.8344
THR 1024 6.50 0.8000 4.000 1e-02 4.9943
THR 1024 6.50 0.8000 6.000 1e-02 5.1543
THR 1024 6.50 0.8000 8.000 1e-02 5.1924
THR 1024 6.50 0.8000 16.000 1e-02 5.2152
THR 1024 6.50 0.9000 1.200 1e-02 4.2555
THR 1024 6.50 0.9000 1.500 1e-02 4.5449
THR 1024 6.50 0.9000 2.000 1e-02 4.8953
THR 1024 6.50 0.9000 3.000 1e-02 5.3600
THR 1024 6.50 0.9000 4.000 1e-02 5.5428
THR 1024 6.50 0.9000 6.000 1e-02 5.6418
THR 1024 6.50 0.9000 8.000 1e-02 5.7865
THR 1024 6.50 0.9000 16.000 1e-02 5.8170
THR 1024 6.50 0.9500 1.200 1e-02 4.3850
THR 1024 6.50 0.9500 1.500 1e-02 4.6896
THR 1024 6.50 0.9500 2.000 1e-02 5.0781
THR 1024 6.50 0.9500 3.000 1e-02 5.6113
THR 1024 6.50 0.9500 4.000 1e-02 5.8170
THR 1024 6.50 0.9500 6.000 1e-02 6.0531
THR 1024 6.50 0.9500 8.000 1e-02 6.0684
THR 1024 6.50 0.9500 16.000 1e-02 6.1141
THR 1024 6.50 0.9800 1.200 1e-02 4.4764
THR 1024 6.50 0.9800 1.500 1e-02 4.8191
THR 1024 6.50 0.9800 2.000 1e-02 5.2076
THR 1024 6.50 0.9800 3.000 1e-02 5.7484
THR 1024 6.50 0.9800 4.000 1e-02 6.0303
THR 1024 6.50 0.9800 6.000 1e-02 6.2512
THR 1024 6.50 0.9800 8.000 1e-02 6.2740
THR 1024 6.50 0.9800 16.000 1e-02 6.3045
THR 1024 6.50 0.9950 1.200 1e-02 4.5297
THR 1024 6.50 0.9950 1.500 1e-02 4.8725
THR 1024 6.50 0.9950 2.000 1e-02 5.2533
THR 1024 6.50 0.9950 3.000 1e-02 5.8551
THR 1024 6.50 0.9950 4.000 1e-02 6.1293
THR 1024 6.50 0.9950 6.000 1e-02 6.3350
THR 1024 6.50 0.9950 8.000 1e-02 6.3807
THR 1024 6.50 0.9950 16.000 1e-02 6.4111
THR 1024 5.00 0.5000 1.200 1e-03 2.8223
THR 1024 5.00 0.5000 1.500 1e-03 2.8867
THR 1024 5.00 0.5000 2.000 1e-03 2.8340
THR 1024 5.00 0.5000 3.000 1e-03 2.7988
THR 1024 5.00 0.5000 4.000 1e-03 2.7461
THR 1024 5.00 0.5000 6.000 1e-03 2.6934
THR 1024 5.00 0.5000 8.000 1e-03 2.6699
THR 1024 5.00 0.5000 16.000 1e-03 2.5000
THR 1024 5.00 0.6000 1.200 1e-03 2.9336
THR 1024 5.00 0.6000 1.500 1e-03 2.9160
THR 1024 5.00 0.6000 2.000 1e-03 2.8984
THR 1024 5.00 0.6000 3.000 1e-03 2.8398
THR 1024 5.00 0.6000 4.000 1e-03 2.8164
THR 1024 5.00 0.6000 6.000 1e-03 2.8457
THR 1024 5.00 0.6000 8.000 1e-03 2.8340
THR 1024 5.00 0.6000 16.000 1e-03 2.7109
THR 1024 5.00 0.7000 1.200 1e-03 2.9863
THR 1024 5.00 0.7000 1.500 1e-03 3.0098
THR 1024 5.00 0.7000 2.000 1e-03 2.9980
THR 1024 5.00 0.7000 3.000 1e-03 3.1270
THR 1024 5.00 0.7000 4.000 1e-03 3.0918
THR 1024 5.00 0.7000 6.000 1e-03 3.1270
THR 1024 5.00 0.7000 8.000 1e-03 3.1270
THR 1024 5.00 0.7000 16.000 1e-03 2.9570
THR 1024 5.00 0.8000 1.200 1e-03 3.0391
THR 1024 5.00 0.8000 1.500 1e-03 3.1152
THR 1024 5.00 0.8000 2.000 1e-03 3.2266
THR 1024 5.00 0.8000 3.000 1e-03 3.4141
THR 1024 5.00 0.8000 4.000 1e-03 3.3965
THR 1024 5.00 0.8000 6.000 1e-03 3.4902
THR 1024 5.00 0.8000 8.000 1e-03 3.4727
THR 1024 5.00 0.8000 16.000 1e-03 3.4551
THR 1024 5.00 0.9000 1.200 1e-03 3.1797
THR 1024 5.00 0.9000 1.500 1e-03 3.3145
THR 1024 5.00 0.9000 2.000 1e-03 3.5430
THR 1024 5.00 0.9000 3.000 1e-03 3.8066
THR 1024 5.00 0.9000 4.000 1e-03 3.8359
THR 1024 5.00 0.9000 6.000 1e-03 3.9824
THR 1024 5.00 0.9000 8.000 1e-03 4.1582
THR 1024 5.00 0.9000 16.000 1e-03 4.1641
THR 1024 5.00 0.9500 1.200 1e-03 3.2090
THR 1024 5.00 0.9500 1.500 1e-03 3.3145
THR 1024 5.00 0.9500 2.000 1e-03 3.6426
THR 1024 5.00 0.9500 3.000 1e-03 4.0117
THR 1024 5.00 0.9500 4.000 1e-03 4.1582
THR 1024 5.00 0.9500 6.000 1e-03 4.3691
THR 1024 5.00 0.9500 8.000 1e-03 4.3164
THR 1024 5.00 0.9500 16.000 1e-03 4.4922
THR 1024 5.00 0.9800 1.200 1e-03 3.2441
THR 1024 5.00 0.9800 1.500 1e-03 3.5371
THR 1024 5.00 0.9800 2.000 1e-03 3.7188
THR 1024 5.00 0.9800 3.000 1e-03 4.1992
THR 1024 5.00 0.9800 4.000 1e-03 4.4277
THR 1024 5.00 0.9800 6.000 1e-03 4.5918
THR 1024 5.00 0.9800 8.000 1e-03 4.6738
