# matchedfilter tuning table
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  bc0cd1e
# trials  20000 per cell (~11571 detections); rates below ~3e-04 are unresolved
#
# Measured by running the real filter against injections and counting the
# peaks the ungated filter reports that it does not. Regenerate with
#   python tools/hmf_tune.py  (see its docstring for what invalidates it)
# FDR rows are a property of the statistic; COST rows are a property of
# this machine and this build, and go stale independently.
#
# WARNING: the COST rows are not usable yet. They were timed on the FDR
# harness, which injects at the threshold so ~half of all pairs trigger
# whatever the band -- so every band reads 9-13 us/pair, where the real
# captures separate band 256 and 1024 by 23 ms/segment against 10. Cost is
# set by how often the gate opens on NOISE at the operating point and needs
# its own pure-noise run.
#
# SCOPE: n=4096 only, decision window = the full transform. A table for
# other transform lengths has to be generated separately.
#
# FDR  n band U K snr f beff dismissal
FDR 4096 512 2 4 5.00 0.8000 10.1 2.9483e-04
FDR 4096 512 2 4 5.00 0.8000 50.6 0.0000e+00
FDR 4096 512 2 4 5.00 0.8000 152.2 0.0000e+00
FDR 4096 512 2 4 5.00 0.8000 305.9 0.0000e+00
FDR 4096 512 2 4 5.00 0.8000 462.7 0.0000e+00
FDR 4096 512 2 4 5.00 0.9000 10.1 7.9080e-04
FDR 4096 512 2 4 5.00 0.9000 50.6 2.3628e-04
FDR 4096 512 2 4 5.00 0.9000 152.2 0.0000e+00
FDR 4096 512 2 4 5.00 0.9000 305.9 0.0000e+00
FDR 4096 512 2 4 5.00 0.9000 462.7 0.0000e+00
FDR 4096 512 2 4 5.00 0.9500 10.1 9.4580e-04
FDR 4096 512 2 4 5.00 0.9500 50.6 2.3436e-04
FDR 4096 512 2 4 5.00 0.9500 152.2 0.0000e+00
FDR 4096 512 2 4 5.00 0.9500 305.9 0.0000e+00
FDR 4096 512 2 4 5.00 0.9500 462.7 0.0000e+00
FDR 4096 512 2 4 5.00 0.9900 10.1 1.5006e-02
FDR 4096 512 2 4 5.00 0.9900 50.6 8.0470e-04
FDR 4096 512 2 4 5.00 0.9900 152.2 0.0000e+00
FDR 4096 512 2 4 5.00 0.9900 305.9 0.0000e+00
FDR 4096 512 2 4 5.00 0.9900 462.7 0.0000e+00
FDR 4096 512 2 4 5.50 0.8000 10.1 3.1323e-04
FDR 4096 512 2 4 5.50 0.8000 50.6 3.4034e-04
FDR 4096 512 2 4 5.50 0.8000 152.2 8.8629e-05
FDR 4096 512 2 4 5.50 0.8000 305.9 0.0000e+00
FDR 4096 512 2 4 5.50 0.8000 462.7 0.0000e+00
FDR 4096 512 2 4 5.50 0.9000 10.1 6.7375e-04
FDR 4096 512 2 4 5.50 0.9000 50.6 3.2747e-04
FDR 4096 512 2 4 5.50 0.9000 152.2 0.0000e+00
FDR 4096 512 2 4 5.50 0.9000 305.9 0.0000e+00
FDR 4096 512 2 4 5.50 0.9000 462.7 0.0000e+00
FDR 4096 512 2 4 5.50 0.9500 10.1 8.2360e-04
FDR 4096 512 2 4 5.50 0.9500 50.6 2.4239e-04
FDR 4096 512 2 4 5.50 0.9500 152.2 0.0000e+00
FDR 4096 512 2 4 5.50 0.9500 305.9 0.0000e+00
FDR 4096 512 2 4 5.50 0.9500 462.7 0.0000e+00
FDR 4096 512 2 4 5.50 0.9900 10.1 1.3093e-02
FDR 4096 512 2 4 5.50 0.9900 50.6 5.7623e-04
FDR 4096 512 2 4 5.50 0.9900 152.2 0.0000e+00
FDR 4096 512 2 4 5.50 0.9900 305.9 0.0000e+00
FDR 4096 512 2 4 5.50 0.9900 462.7 0.0000e+00
FDR 4096 512 2 4 6.00 0.8000 10.1 4.1295e-04
FDR 4096 512 2 4 6.00 0.8000 50.6 4.4049e-04
FDR 4096 512 2 4 6.00 0.8000 152.2 9.0572e-05
FDR 4096 512 2 4 6.00 0.8000 305.9 0.0000e+00
FDR 4096 512 2 4 6.00 0.8000 462.7 0.0000e+00
FDR 4096 512 2 4 6.00 0.9000 10.1 7.0001e-04
FDR 4096 512 2 4 6.00 0.9000 50.6 3.3721e-04
FDR 4096 512 2 4 6.00 0.9000 152.2 0.0000e+00
FDR 4096 512 2 4 6.00 0.9000 305.9 0.0000e+00
FDR 4096 512 2 4 6.00 0.9000 462.7 0.0000e+00
FDR 4096 512 2 4 6.00 0.9500 10.1 4.6125e-04
FDR 4096 512 2 4 6.00 0.9500 50.6 2.4843e-04
FDR 4096 512 2 4 6.00 0.9500 152.2 0.0000e+00
FDR 4096 512 2 4 6.00 0.9500 305.9 0.0000e+00
FDR 4096 512 2 4 6.00 0.9500 462.7 0.0000e+00
FDR 4096 512 2 4 6.00 0.9900 10.1 9.8495e-03
FDR 4096 512 2 4 6.00 0.9900 50.6 3.3492e-04
FDR 4096 512 2 4 6.00 0.9900 152.2 0.0000e+00
FDR 4096 512 2 4 6.00 0.9900 305.9 0.0000e+00
FDR 4096 512 2 4 6.00 0.9900 462.7 0.0000e+00
FDR 4096 512 2 8 5.00 0.8000 10.1 2.9483e-04
FDR 4096 512 2 8 5.00 0.8000 50.6 2.4229e-04
FDR 4096 512 2 8 5.00 0.8000 152.2 0.0000e+00
FDR 4096 512 2 8 5.00 0.8000 305.9 0.0000e+00
FDR 4096 512 2 8 5.00 0.8000 462.7 0.0000e+00
FDR 4096 512 2 8 5.00 0.9000 10.1 7.9080e-04
FDR 4096 512 2 8 5.00 0.9000 50.6 3.9379e-04
FDR 4096 512 2 8 5.00 0.9000 152.2 7.4608e-04
FDR 4096 512 2 8 5.00 0.9000 305.9 1.6209e-03
FDR 4096 512 2 8 5.00 0.9000 462.7 1.9882e-03
FDR 4096 512 2 8 5.00 0.9500 10.1 9.4580e-04
FDR 4096 512 2 8 5.00 0.9500 50.6 4.6871e-04
FDR 4096 512 2 8 5.00 0.9500 152.2 1.2323e-03
FDR 4096 512 2 8 5.00 0.9500 305.9 3.3895e-03
FDR 4096 512 2 8 5.00 0.9500 462.7 6.9468e-03
FDR 4096 512 2 8 5.00 0.9900 10.1 1.6476e-02
FDR 4096 512 2 8 5.00 0.9900 50.6 5.7938e-03
FDR 4096 512 2 8 5.00 0.9900 152.2 5.8990e-03
FDR 4096 512 2 8 5.00 0.9900 305.9 2.3587e-02
FDR 4096 512 2 8 5.00 0.9900 462.7 4.1631e-02
FDR 4096 512 2 8 5.50 0.8000 10.1 3.1323e-04
FDR 4096 512 2 8 5.50 0.8000 50.6 5.9559e-04
FDR 4096 512 2 8 5.50 0.8000 152.2 8.8629e-05
FDR 4096 512 2 8 5.50 0.8000 305.9 5.3720e-04
FDR 4096 512 2 8 5.50 0.8000 462.7 5.3528e-04
FDR 4096 512 2 8 5.50 0.9000 10.1 6.7375e-04
FDR 4096 512 2 8 5.50 0.9000 50.6 4.9120e-04
FDR 4096 512 2 8 5.50 0.9000 152.2 8.6059e-04
FDR 4096 512 2 8 5.50 0.9000 305.9 2.0213e-03
FDR 4096 512 2 8 5.50 0.9000 462.7 3.4480e-03
FDR 4096 512 2 8 5.50 0.9500 10.1 8.2360e-04
FDR 4096 512 2 8 5.50 0.9500 50.6 4.8477e-04
FDR 4096 512 2 8 5.50 0.9500 152.2 1.5240e-03
FDR 4096 512 2 8 5.50 0.9500 305.9 3.8264e-03
FDR 4096 512 2 8 5.50 0.9500 462.7 8.4218e-03
FDR 4096 512 2 8 5.50 0.9900 10.1 1.3960e-02
FDR 4096 512 2 8 5.50 0.9900 50.6 4.8568e-03
FDR 4096 512 2 8 5.50 0.9900 152.2 6.4615e-03
FDR 4096 512 2 8 5.50 0.9900 305.9 2.6938e-02
FDR 4096 512 2 8 5.50 0.9900 462.7 4.9466e-02
FDR 4096 512 2 8 6.00 0.8000 10.1 4.1295e-04
FDR 4096 512 2 8 6.00 0.8000 50.6 7.9288e-04
FDR 4096 512 2 8 6.00 0.8000 152.2 2.7171e-04
FDR 4096 512 2 8 6.00 0.8000 305.9 8.2020e-04
FDR 4096 512 2 8 6.00 0.8000 462.7 1.2656e-03
