# matchedfilter COST table -- RELATIVE cost per configuration, measured
#
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  398fa6f
#
# Cost RELATIVE to a pivot configuration at the same transform length, not
# microseconds. Absolute time is a property of machine, load and reference
# together; the ratio is a property of the configuration, which is the only
# thing selection needs.
#
# Measured by holding ONE reference fixed and timing every configuration on
# it, cycling rather than running each to completion, and dividing by a pivot
# measured in the same loop. Clock and turbo state, contention, cache
# temperature and the machine cancel in the ratio -- which is also what makes
# it safe to measure these in parallel on every core.
#
# Ranks configurations; do not read them as predictions of runtime.
#
# Regenerate for your own CPU:
#   python tools/hmf_tune.py --retune-cost --out mycost.txt
#   export MF_COST=$PWD/mycost.txt
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 2048 256 2 8 6.00 0.8500 103.0 0.4791
COST 2048 256 2 8 6.00 0.8750 175.6 1.2262
COST 2048 256 2 8 6.00 0.9500 25.6 0.4055
COST 2048 256 2 8 6.00 0.9500 50.6 0.4583
COST 2048 256 2 8 6.00 0.9500 103.0 0.4262
COST 2048 256 2 8 6.00 0.9940 99.4 0.3090
COST 2048 256 2 8 6.50 0.7130 228.0 0.7549
COST 2048 256 2 8 6.50 0.7830 175.6 1.3117
COST 2048 256 2 8 6.50 0.8500 25.6 0.4745
COST 2048 256 2 8 6.50 0.8500 50.6 0.4638
COST 2048 256 2 8 6.50 0.8500 103.0 0.3724
COST 2048 256 2 8 6.50 0.8750 175.6 0.5749
COST 2048 256 2 8 6.50 0.9500 25.6 0.4457
COST 2048 256 2 8 6.50 0.9500 50.6 0.4551
COST 2048 256 2 8 6.50 0.9500 103.0 0.3835
COST 2048 256 2 8 6.50 0.9940 99.4 0.3107
COST 2048 512 2 4 5.00 0.8500 50.6 1.1110
COST 2048 512 2 4 5.00 0.8500 205.5 1.2207
COST 2048 512 2 4 5.00 0.9210 350.9 2.2522
COST 2048 512 2 4 5.00 0.9330 30.8 1.6396
COST 2048 512 2 4 5.00 0.9330 123.7 1.9007
COST 2048 512 2 4 5.00 0.9500 50.6 0.7780
COST 2048 512 2 4 5.00 0.9500 205.5 1.2816
COST 2048 512 2 4 5.00 0.9780 27.1 0.8201
COST 2048 512 2 4 5.00 0.9780 109.1 0.9508
COST 2048 512 2 4 5.00 1.0000 100.6 0.8786
COST 2048 512 2 4 5.50 0.8500 50.6 0.7892
COST 2048 512 2 4 5.50 0.8500 205.5 1.9175
COST 2048 512 2 4 5.50 0.9210 350.9 2.3017
COST 2048 512 2 4 5.50 0.9330 30.8 1.1886
COST 2048 512 2 4 5.50 0.9330 123.7 1.4515
COST 2048 512 2 4 5.50 0.9500 50.6 0.7568
COST 2048 512 2 4 5.50 0.9500 205.5 1.2758
COST 2048 512 2 4 5.50 0.9780 27.1 0.7920
COST 2048 512 2 4 5.50 0.9780 109.1 0.7814
COST 2048 512 2 4 5.50 1.0000 100.6 0.5478
COST 2048 512 2 4 5.75 0.8500 50.6 0.6118
COST 2048 512 2 4 5.75 0.8500 205.5 1.4602
COST 2048 512 2 4 5.75 0.9210 350.9 1.9298
COST 2048 512 2 4 5.75 0.9330 30.8 0.7517
