# matchedfilter GPU COST table -- budget-aware relative costs
# format cost-fd-pairs-v1
# device  AMD Radeon 8060S Graphics (RADV GFX1151)
# commit  b25d6a8
# Profiles: [-2.3333333333333335, -2.0, 'pycbc']; batch shapes: [(16, 256), (16, 1024)]
# Costs are warm public-API ratios to the widest band at the same batch shape.
# Accuracy is independent and uses the profile gate.
# U=2; taps K are metadata on this GPU, so K=4 and K=8 share costs.
# COST n band U K snr fd pairs f beff relative_cost
COST 16384 1024 2 8 5.00 0.0001 16384 0.883490 617.877 2.870630
COST 16384 2048 2 4 5.00 0.0001 16384 0.958427 723.286 2.479144
COST 16384 2048 2 8 5.00 0.0001 16384 0.958427 723.286 2.479144
COST 16384 4096 2 4 5.00 0.0001 16384 0.988190 768.584 1.236916
COST 16384 4096 2 8 5.00 0.0001 16384 0.988190 768.584 1.236916
COST 16384 8192 2 4 5.00 0.0001 16384 1.000000 787.039 1.000000
COST 16384 8192 2 8 5.00 0.0001 16384 1.000000 787.039 1.000000
COST 16384 256 2 4 5.00 0.0001 4096 0.333179 181.648 1.955572
COST 16384 256 2 8 5.00 0.0001 4096 0.333179 181.648 1.955572
COST 16384 512 2 4 5.00 0.0001 4096 0.698196 412.464 2.012976
COST 16384 512 2 8 5.00 0.0001 4096 0.698196 412.464 2.012976
COST 16384 1024 2 4 5.00 0.0001 4096 0.883490 617.877 2.013182
COST 16384 1024 2 8 5.00 0.0001 4096 0.883490 617.877 2.013182
COST 16384 2048 2 4 5.00 0.0001 4096 0.958427 723.286 1.793096
COST 16384 2048 2 8 5.00 0.0001 4096 0.958427 723.286 1.793096
COST 16384 4096 2 4 5.00 0.0001 4096 0.988190 768.584 1.036085
COST 16384 4096 2 8 5.00 0.0001 4096 0.988190 768.584 1.036085
COST 16384 8192 2 4 5.00 0.0001 4096 1.000000 787.039 1.000000
COST 16384 8192 2 8 5.00 0.0001 4096 1.000000 787.039 1.000000
COST 16384 256 2 4 5.00 0.001 16384 0.243860 167.954 2.078600
COST 16384 256 2 8 5.00 0.001 16384 0.243860 167.954 2.078600
COST 16384 512 2 4 5.00 0.001 16384 0.587781 409.249 2.090544
COST 16384 512 2 8 5.00 0.001 16384 0.587781 409.249 2.090544
COST 16384 1024 2 4 5.00 0.001 16384 0.805726 682.375 2.103829
COST 16384 1024 2 8 5.00 0.001 16384 0.805726 682.375 2.103829
COST 16384 2048 2 4 5.00 0.001 16384 0.916701 870.462 2.043086
COST 16384 2048 2 8 5.00 0.001 16384 0.916701 870.462 2.043086
COST 16384 4096 2 4 5.00 0.001 16384 0.972236 977.344 1.336345
COST 16384 4096 2 8 5.00 0.001 16384 0.972236 977.344 1.336345
COST 16384 8192 2 4 5.00 0.001 16384 1.000000 1033.727 1.000000
COST 16384 8192 2 8 5.00 0.001 16384 1.000000 1033.727 1.000000
COST 16384 256 2 4 5.00 0.001 4096 0.243860 167.954 1.714292
COST 16384 256 2 8 5.00 0.001 4096 0.243860 167.954 1.714292
COST 16384 512 2 4 5.00 0.001 4096 0.587781 409.249 1.729557
COST 16384 512 2 8 5.00 0.001 4096 0.587781 409.249 1.729557
COST 16384 1024 2 4 5.00 0.001 4096 0.805726 682.375 1.734983
COST 16384 1024 2 8 5.00 0.001 4096 0.805726 682.375 1.734983
COST 16384 2048 2 4 5.00 0.001 4096 0.916701 870.462 1.621123
COST 16384 2048 2 8 5.00 0.001 4096 0.916701 870.462 1.621123
COST 16384 4096 2 4 5.00 0.001 4096 0.972236 977.344 1.127820
COST 16384 4096 2 8 5.00 0.001 4096 0.972236 977.344 1.127820
COST 16384 8192 2 4 5.00 0.001 4096 1.000000 1033.727 1.000000
COST 16384 8192 2 8 5.00 0.001 4096 1.000000 1033.727 1.000000
COST 16384 256 2 4 5.00 0.001 16384 0.333179 181.648 3.358817
COST 16384 256 2 8 5.00 0.001 16384 0.333179 181.648 3.358817
COST 16384 512 2 4 5.00 0.001 16384 0.698196 412.464 3.306751
COST 16384 512 2 8 5.00 0.001 16384 0.698196 412.464 3.306751
COST 16384 1024 2 4 5.00 0.001 16384 0.883490 617.877 3.246218
COST 16384 1024 2 8 5.00 0.001 16384 0.883490 617.877 3.246218
COST 16384 2048 2 4 5.00 0.001 16384 0.958427 723.286 1.861926
COST 16384 2048 2 8 5.00 0.001 16384 0.958427 723.286 1.861926
COST 16384 4096 2 4 5.00 0.001 16384 0.988190 768.584 0.893088
COST 16384 4096 2 8 5.00 0.001 16384 0.988190 768.584 0.893088
COST 16384 8192 2 4 5.00 0.001 16384 1.000000 787.039 1.000000
COST 16384 8192 2 8 5.00 0.001 16384 1.000000 787.039 1.000000
COST 16384 256 2 4 5.00 0.001 4096 0.333179 181.648 2.188260
COST 16384 256 2 8 5.00 0.001 4096 0.333179 181.648 2.188260
COST 16384 512 2 4 5.00 0.001 4096 0.698196 412.464 2.269164
COST 16384 512 2 8 5.00 0.001 4096 0.698196 412.464 2.269164
COST 16384 1024 2 4 5.00 0.001 4096 0.883490 617.877 2.146158
COST 16384 1024 2 8 5.00 0.001 4096 0.883490 617.877 2.146158
COST 16384 2048 2 4 5.00 0.001 4096 0.958427 723.286 1.296621
COST 16384 2048 2 8 5.00 0.001 4096 0.958427 723.286 1.296621
COST 16384 4096 2 4 5.00 0.001 4096 0.988190 768.584 0.759934
COST 16384 4096 2 8 5.00 0.001 4096 0.988190 768.584 0.759934
COST 16384 8192 2 4 5.00 0.001 4096 1.000000 787.039 1.000000
COST 16384 8192 2 8 5.00 0.001 4096 1.000000 787.039 1.000000
COST 16384 256 2 4 5.00 0.01 16384 0.243860 167.954 3.005129
COST 16384 256 2 8 5.00 0.01 16384 0.243860 167.954 3.005129
COST 16384 512 2 4 5.00 0.01 16384 0.587781 409.249 3.083810
COST 16384 512 2 8 5.00 0.01 16384 0.587781 409.249 3.083810
COST 16384 1024 2 4 5.00 0.01 16384 0.805726 682.375 2.990841
COST 16384 1024 2 8 5.00 0.01 16384 0.805726 682.375 2.990841
COST 16384 2048 2 4 5.00 0.01 16384 0.916701 870.462 1.887746
COST 16384 2048 2 8 5.00 0.01 16384 0.916701 870.462 1.887746
COST 16384 4096 2 4 5.00 0.01 16384 0.972236 977.344 0.911722
COST 16384 4096 2 8 5.00 0.01 16384 0.972236 977.344 0.911722
COST 16384 8192 2 4 5.00 0.01 16384 1.000000 1033.727 1.000000
COST 16384 8192 2 8 5.00 0.01 16384 1.000000 1033.727 1.000000
COST 16384 256 2 4 5.00 0.01 4096 0.243860 167.954 2.483165
COST 16384 256 2 8 5.00 0.01 4096 0.243860 167.954 2.483165
COST 16384 512 2 4 5.00 0.01 4096 0.587781 409.249 2.344607
COST 16384 512 2 8 5.00 0.01 4096 0.587781 409.249 2.344607
COST 16384 1024 2 4 5.00 0.01 4096 0.805726 682.375 2.132968
COST 16384 1024 2 8 5.00 0.01 4096 0.805726 682.375 2.132968
COST 16384 2048 2 4 5.00 0.01 4096 0.916701 870.462 1.408818
COST 16384 2048 2 8 5.00 0.01 4096 0.916701 870.462 1.408818
COST 16384 4096 2 4 5.00 0.01 4096 0.972236 977.344 0.822168
COST 16384 4096 2 8 5.00 0.01 4096 0.972236 977.344 0.822168
COST 16384 8192 2 4 5.00 0.01 4096 1.000000 1033.727 1.000000
COST 16384 8192 2 8 5.00 0.01 4096 1.000000 1033.727 1.000000
COST 16384 256 2 4 5.00 0.01 16384 0.333179 181.648 4.056634
COST 16384 256 2 8 5.00 0.01 16384 0.333179 181.648 4.056634
COST 16384 512 2 4 5.00 0.01 16384 0.698196 412.464 4.060156
COST 16384 512 2 8 5.00 0.01 16384 0.698196 412.464 4.060156
COST 16384 1024 2 4 5.00 0.01 16384 0.883490 617.877 2.354351
COST 16384 1024 2 8 5.00 0.01 16384 0.883490 617.877 2.354351
COST 16384 2048 2 4 5.00 0.01 16384 0.958427 723.286 0.905149
COST 16384 2048 2 8 5.00 0.01 16384 0.958427 723.286 0.905149
COST 16384 4096 2 4 5.00 0.01 16384 0.988190 768.584 0.621677
COST 16384 4096 2 8 5.00 0.01 16384 0.988190 768.584 0.621677
COST 16384 8192 2 4 5.00 0.01 16384 1.000000 787.039 1.000000
COST 16384 8192 2 8 5.00 0.01 16384 1.000000 787.039 1.000000
COST 16384 256 2 4 5.00 0.01 4096 0.333179 181.648 2.394015
COST 16384 256 2 8 5.00 0.01 4096 0.333179 181.648 2.394015
COST 16384 512 2 4 5.00 0.01 4096 0.698196 412.464 2.380241
COST 16384 512 2 8 5.00 0.01 4096 0.698196 412.464 2.380241
COST 16384 1024 2 4 5.00 0.01 4096 0.883490 617.877 1.492983
COST 16384 1024 2 8 5.00 0.01 4096 0.883490 617.877 1.492983
COST 16384 2048 2 4 5.00 0.01 4096 0.958427 723.286 0.651625
COST 16384 2048 2 8 5.00 0.01 4096 0.958427 723.286 0.651625
COST 16384 4096 2 4 5.00 0.01 4096 0.988190 768.584 0.562333
COST 16384 4096 2 8 5.00 0.01 4096 0.988190 768.584 0.562333
COST 16384 8192 2 4 5.00 0.01 4096 1.000000 787.039 1.000000
COST 16384 8192 2 8 5.00 0.01 4096 1.000000 787.039 1.000000
COST 16384 256 2 4 5.50 0.0001 16384 0.243860 167.954 3.222610
COST 16384 256 2 8 5.50 0.0001 16384 0.243860 167.954 3.222610
COST 16384 512 2 4 5.50 0.0001 16384 0.587781 409.249 3.212512
COST 16384 512 2 8 5.50 0.0001 16384 0.587781 409.249 3.212512
COST 16384 1024 2 4 5.50 0.0001 16384 0.805726 682.375 3.283673
COST 16384 1024 2 8 5.50 0.0001 16384 0.805726 682.375 3.283673
COST 16384 2048 2 4 5.50 0.0001 16384 0.916701 870.462 2.861533
COST 16384 2048 2 8 5.50 0.0001 16384 0.916701 870.462 2.861533
COST 16384 4096 2 4 5.50 0.0001 16384 0.972236 977.344 1.275727
COST 16384 4096 2 8 5.50 0.0001 16384 0.972236 977.344 1.275727
COST 16384 8192 2 4 5.50 0.0001 16384 1.000000 1033.727 1.000000
COST 16384 8192 2 8 5.50 0.0001 16384 1.000000 1033.727 1.000000
COST 16384 256 2 4 5.50 0.0001 4096 0.243860 167.954 2.378734
COST 16384 256 2 8 5.50 0.0001 4096 0.243860 167.954 2.378734
COST 16384 512 2 4 5.50 0.0001 4096 0.587781 409.249 2.309139
COST 16384 512 2 8 5.50 0.0001 4096 0.587781 409.249 2.309139
