# ACC2 rows for n=4096, measured with NO oversample.
# band measured at 1024; band is not in the key.
# 24000 trials a cell.
ACC2 4096 4 5.50 0.9000 32.61 0.960 6.6392e-05
ACC2 4096 4 5.50 0.9000 32.61 0.980 6.6392e-05
ACC2 4096 4 5.50 0.9000 32.61 1.000 5.3114e-04
ACC2 4096 4 5.50 0.9000 64.60 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9000 64.60 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9000 64.60 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9000 64.60 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9000 64.60 1.000 0.0000e+00
ACC2 4096 4 5.50 0.9000 128.59 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9000 128.59 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9000 128.59 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9000 128.59 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9000 128.59 1.000 7.1043e-05
ACC2 4096 4 5.50 0.9500 2.03 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9500 2.03 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9500 2.03 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9500 2.03 0.980 2.3261e-04
ACC2 4096 4 5.50 0.9500 2.03 1.000 2.5587e-03
ACC2 4096 4 5.50 0.9500 3.94 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9500 3.94 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9500 3.94 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9500 3.94 0.980 1.1998e-04
ACC2 4096 4 5.50 0.9500 3.94 1.000 1.1398e-03
ACC2 4096 4 5.50 0.9500 8.14 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9500 8.14 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9500 8.14 0.960 6.1908e-05
ACC2 4096 4 5.50 0.9500 8.14 0.980 1.8572e-04
ACC2 4096 4 5.50 0.9500 8.14 1.000 1.1763e-03
ACC2 4096 4 5.50 0.9500 16.12 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9500 16.12 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9500 16.12 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9500 16.12 0.980 1.2746e-04
ACC2 4096 4 5.50 0.9500 16.12 1.000 5.7358e-04
ACC2 4096 4 5.50 0.9500 32.61 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9500 32.61 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9500 32.61 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9500 32.61 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9500 32.61 1.000 4.6162e-04
ACC2 4096 4 5.50 0.9500 64.60 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9500 64.60 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9500 64.60 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9500 64.60 0.980 1.3617e-04
ACC2 4096 4 5.50 0.9500 64.60 1.000 3.4044e-04
ACC2 4096 4 5.50 0.9500 128.59 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9500 128.59 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9500 128.59 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9500 128.59 0.980 0.0000e+00
ACC2 4096 4 5.50 0.9500 128.59 1.000 0.0000e+00
ACC2 4096 4 5.50 0.9800 2.03 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9800 2.03 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9800 2.03 0.960 6.0794e-05
ACC2 4096 4 5.50 0.9800 2.03 0.980 1.6414e-03
ACC2 4096 4 5.50 0.9800 2.03 1.000 1.6475e-02
ACC2 4096 4 5.50 0.9800 3.94 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9800 3.94 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9800 3.94 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9800 3.94 0.980 8.7271e-04
ACC2 4096 4 5.50 0.9800 3.94 1.000 9.9738e-03
ACC2 4096 4 5.50 0.9800 8.14 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9800 8.14 0.930 0.0000e+00
