# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 32768 6.00 0.9800 1.200 1e-03 3.8719
THR 32768 6.00 0.9800 1.500 1e-03 4.1602
THR 32768 6.00 0.9800 2.000 1e-03 4.4906
THR 32768 6.00 0.9800 3.000 1e-03 4.9969
THR 32768 6.00 0.9800 4.000 1e-03 5.3063
THR 32768 6.00 0.9800 6.000 1e-03 5.6016
THR 32768 6.00 0.9800 8.000 1e-03 5.6297
THR 32768 6.00 0.9800 16.000 1e-03 5.6297
THR 32768 6.00 0.9950 1.200 1e-03 3.9000
THR 32768 6.00 0.9950 1.500 1e-03 4.1953
THR 32768 6.00 0.9950 2.000 1e-03 4.5398
THR 32768 6.00 0.9950 3.000 1e-03 5.0461
THR 32768 6.00 0.9950 4.000 1e-03 5.4609
THR 32768 6.00 0.9950 6.000 1e-03 5.7211
THR 32768 6.00 0.9950 8.000 1e-03 5.7633
THR 32768 6.00 0.9950 16.000 1e-03 5.8336
THR 32768 6.50 0.3000 1.200 1e-03 3.2500
THR 32768 6.50 0.3000 1.500 1e-03 3.2500
THR 32768 6.50 0.3000 2.000 1e-03 3.2500
THR 32768 6.50 0.3000 3.000 1e-03 3.2500
THR 32768 6.50 0.3000 4.000 1e-03 3.2500
THR 32768 6.50 0.3000 6.000 1e-03 3.2500
THR 32768 6.50 0.3000 8.000 1e-03 3.2500
THR 32768 6.50 0.3000 16.000 1e-03 3.2500
THR 32768 6.50 0.4000 1.200 1e-03 3.2500
THR 32768 6.50 0.4000 1.500 1e-03 3.2500
THR 32768 6.50 0.4000 2.000 1e-03 3.2881
THR 32768 6.50 0.4000 3.000 1e-03 3.2500
THR 32768 6.50 0.4000 4.000 1e-03 3.2500
THR 32768 6.50 0.4000 6.000 1e-03 3.2500
THR 32768 6.50 0.4000 8.000 1e-03 3.2500
THR 32768 6.50 0.4000 16.000 1e-03 3.2500
THR 32768 6.50 0.5000 1.200 1e-03 3.2805
THR 32768 6.50 0.5000 1.500 1e-03 3.2652
THR 32768 6.50 0.5000 2.000 1e-03 3.3033
THR 32768 6.50 0.5000 3.000 1e-03 3.3262
THR 32768 6.50 0.5000 4.000 1e-03 3.3947
THR 32768 6.50 0.5000 6.000 1e-03 3.3566
THR 32768 6.50 0.5000 8.000 1e-03 3.2500
THR 32768 6.50 0.5000 16.000 1e-03 3.3033
THR 32768 6.50 0.6000 1.200 1e-03 3.4480
THR 32768 6.50 0.6000 1.500 1e-03 3.4100
THR 32768 6.50 0.6000 2.000 1e-03 3.4633
THR 32768 6.50 0.6000 3.000 1e-03 3.5928
THR 32768 6.50 0.6000 4.000 1e-03 3.6461
THR 32768 6.50 0.6000 6.000 1e-03 3.6766
THR 32768 6.50 0.6000 8.000 1e-03 3.7070
THR 32768 6.50 0.6000 16.000 1e-03 3.5852
THR 32768 6.50 0.7000 1.200 1e-03 3.5775
THR 32768 6.50 0.7000 1.500 1e-03 3.6156
THR 32768 6.50 0.7000 2.000 1e-03 3.6766
THR 32768 6.50 0.7000 3.000 1e-03 3.7527
THR 32768 6.50 0.7000 4.000 1e-03 3.9889
THR 32768 6.50 0.7000 6.000 1e-03 4.1336
THR 32768 6.50 0.7000 8.000 1e-03 4.1717
THR 32768 6.50 0.7000 16.000 1e-03 4.2555
THR 32768 6.50 0.8000 1.200 1e-03 3.7908
THR 32768 6.50 0.8000 1.500 1e-03 3.8213
THR 32768 6.50 0.8000 2.000 1e-03 3.9584
THR 32768 6.50 0.8000 3.000 1e-03 4.5068
THR 32768 6.50 0.8000 4.000 1e-03 4.5982
THR 32768 6.50 0.8000 6.000 1e-03 4.7049
THR 32768 6.50 0.8000 8.000 1e-03 4.6592
THR 32768 6.50 0.8000 16.000 1e-03 4.8420
THR 32768 6.50 0.9000 1.200 1e-03 4.0117
THR 32768 6.50 0.9000 1.500 1e-03 4.1031
THR 32768 6.50 0.9000 2.000 1e-03 4.5145
THR 32768 6.50 0.9000 3.000 1e-03 5.0400
THR 32768 6.50 0.9000 4.000 1e-03 5.2381
THR 32768 6.50 0.9000 6.000 1e-03 5.4514
THR 32768 6.50 0.9000 8.000 1e-03 5.5352
THR 32768 6.50 0.9000 16.000 1e-03 5.4514
THR 32768 6.50 0.9500 1.200 1e-03 4.1260
THR 32768 6.50 0.9500 1.500 1e-03 4.3316
THR 32768 6.50 0.9500 2.000 1e-03 4.7354
THR 32768 6.50 0.9500 3.000 1e-03 5.3219
THR 32768 6.50 0.9500 4.000 1e-03 5.5961
THR 32768 6.50 0.9500 6.000 1e-03 5.7865
