# ACC2R rows: n=4096, NO oversample, keyed on band/B_eff.
# measured at band 1024; 24000 trials a cell.
# ACC2R n K snr f ratio margin dismissal
ACC2R 4096 4 5.00 0.9800 31.403 1.000 1.1075e-03
ACC2R 4096 4 5.00 0.9950 1.009 0.900 1.9044e-01
ACC2R 4096 4 5.00 0.9950 1.009 0.930 2.4241e-01
ACC2R 4096 4 5.00 0.9950 1.009 0.960 2.9474e-01
ACC2R 4096 4 5.00 0.9950 1.009 0.980 3.3441e-01
ACC2R 4096 4 5.00 0.9950 1.009 1.000 3.7488e-01
ACC2R 4096 4 5.00 0.9950 1.494 0.900 1.0233e-01
ACC2R 4096 4 5.00 0.9950 1.494 0.930 1.4488e-01
ACC2R 4096 4 5.00 0.9950 1.494 0.960 1.9677e-01
ACC2R 4096 4 5.00 0.9950 1.494 0.980 2.3924e-01
ACC2R 4096 4 5.00 0.9950 1.494 1.000 2.8432e-01
ACC2R 4096 4 5.00 0.9950 1.970 0.900 2.1532e-04
ACC2R 4096 4 5.00 0.9950 1.970 0.930 4.3063e-04
ACC2R 4096 4 5.00 0.9950 1.970 0.960 1.7225e-03
ACC2R 4096 4 5.00 0.9950 1.970 0.980 3.3733e-03
ACC2R 4096 4 5.00 0.9950 1.970 1.000 6.7466e-03
ACC2R 4096 4 5.00 0.9950 3.056 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.056 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.056 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.056 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.056 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.994 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.994 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.994 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.994 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9950 3.994 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9950 6.074 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9950 6.074 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9950 6.074 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9950 6.074 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9950 6.074 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9950 7.963 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9950 7.963 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9950 7.963 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9950 7.963 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9950 7.963 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9950 15.851 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9950 15.851 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9950 15.851 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9950 15.851 0.980 0.0000e+00
ACC2R 4096 4 5.00 0.9950 15.851 1.000 0.0000e+00
ACC2R 4096 4 5.00 0.9950 31.403 0.900 0.0000e+00
ACC2R 4096 4 5.00 0.9950 31.403 0.930 0.0000e+00
ACC2R 4096 4 5.00 0.9950 31.403 0.960 0.0000e+00
ACC2R 4096 4 5.00 0.9950 31.403 0.980 2.0228e-04
ACC2R 4096 4 5.00 0.9950 31.403 1.000 3.8433e-03
