# EXPERIMENTAL: do not ship as default. The sparse lookup picked a slower
# band on the inspiral reference; see docs/tooling-cleanup.md.
# Relative CPU COST rows; current runtime gate; serial interleaved timing
# cpu AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# n band U K snr f beff margin relative_cost
COST 4096 1024 2 8 5.00 0.990000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 8.306 1.000 2.910229
COST 4096 2048 2 8 5.00 1.000000 8.306 1.000 2.890574
COST 4096 64 2 4 5.00 1.000000 8.141 1.000 0.089659
COST 4096 64 2 8 5.00 1.000000 8.141 1.000 0.085312
COST 4096 128 2 4 5.00 1.000000 8.141 1.000 0.119560
COST 4096 128 2 8 5.00 1.000000 8.141 1.000 0.115218
COST 4096 256 2 4 5.00 1.000000 8.141 1.000 0.248170
COST 4096 256 2 8 5.00 1.000000 8.141 1.000 0.248432
COST 4096 512 2 4 5.00 1.000000 8.141 1.000 0.514423
COST 4096 512 2 8 5.00 1.000000 8.141 1.000 0.513736
COST 4096 1024 2 4 5.00 1.000000 8.141 1.000 0.961575
COST 4096 1024 2 8 5.00 1.000000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 8.141 1.000 2.847849
COST 4096 2048 2 8 5.00 1.000000 8.141 1.000 2.864345
COST 4096 64 2 4 5.00 0.990000 32.122 1.000 0.487756
COST 4096 64 2 8 5.00 0.990000 32.122 1.000 0.435354
COST 4096 128 2 4 5.00 0.991489 32.219 1.000 0.161779
COST 4096 128 2 8 5.00 0.991489 32.219 1.000 0.157577
COST 4096 256 2 4 5.00 0.993839 32.371 1.000 0.275445
COST 4096 256 2 8 5.00 0.993839 32.371 1.000 0.271763
COST 4096 512 2 4 5.00 0.996785 32.564 1.000 0.547932
COST 4096 512 2 8 5.00 0.996785 32.564 1.000 0.544893
COST 4096 1024 2 4 5.00 0.999157 32.719 1.000 1.031827
COST 4096 1024 2 8 5.00 0.999157 32.719 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.774 1.000 2.887213
COST 4096 2048 2 8 5.00 1.000000 32.774 1.000 2.825196
COST 4096 64 2 4 5.00 0.970902 31.334 1.000 0.471114
COST 4096 64 2 8 5.00 0.970902 31.334 1.000 0.430881
COST 4096 128 2 4 5.00 0.990000 32.566 1.000 0.167003
COST 4096 128 2 8 5.00 0.990000 32.566 1.000 0.165979
COST 4096 256 2 4 5.00 0.992761 32.748 1.000 0.279345
COST 4096 256 2 8 5.00 0.992761 32.748 1.000 0.278590
COST 4096 512 2 4 5.00 0.996222 32.977 1.000 0.558515
COST 4096 512 2 8 5.00 0.996222 32.977 1.000 0.554472
COST 4096 1024 2 4 5.00 0.999010 33.162 1.000 0.991720
COST 4096 1024 2 8 5.00 0.999010 33.162 1.000 1.000000
